"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1340","test_share[/payment/withdrawals-case3]","tests","2025-12-22","passed","2025-12-22","","test_09_payment","",""
"","601","test_user_security[/api/users/i/bind_phone-case1]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","555","test_finance_center[/payment/recharges-case0]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","550","test_user[/api/user_addresses-case3]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","1038","test_register","tests","2025-12-22","passed","2025-12-22","","test_01_register","",""
"","942","test_games[/game/games/transfer/in_all-case9]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","553","test_games[/api/users/i/set_transfer-case6]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","621","test_share[/payment/channels/list-case0]","tests","2025-12-22","passed","2025-12-22","","test_09_payment","",""
"","2132","test_games[/game/games/l-case4]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","543","test_wash_the[/api/wash_the/statistics-case2]","tests","2025-12-22","passed","2025-12-22","","test_04_wash_the","",""
"","549","test_finance_center[/api/jobs/my-case3]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","592","test_active[/api/jobs/my/activity-case2]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","521","test_share[/api/universal_agent/friends-case3]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","596","test_user_security[/api/cards/solt_wallet-case6]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","561","test_finance_center[/api/account_logs-case5]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","548","test_user_security[/api/cards/add_ewallet-case4]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","554","test_user[/api/users/i/birthday-case6]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","579","test_share[/api/universal_agent/commission/list-case0]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","610","test_share[/payment/recharges-case1]","tests","2025-12-22","passed","2025-12-22","","test_09_payment","",""
"","548","test_finance_center[/api/game_transfers-case2]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","1295","test_games[/api/cache/get_game_lists-case2]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","550","test_user[/api/users/i/info-case0]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","530","test_finance_center[/bets/query/-case6]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","528","test_share[/api/universal_agent/week_job/log-case5]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","600","test_games[/api/cache/every_time_draw-case0]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","550","test_games[/api/games/bookmark_game_list-case1]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","540","test_user[/api/users/i/gender-case5]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","528","test_finance_center[/payment/withdrawals-case1]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
"","551","test_share[/payment/channels/get_rate-case2]","tests","2025-12-22","passed","2025-12-22","","test_09_payment","",""
"","921","test_games[/game/games/wallets/query_balance_all-case8]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","1082","test_user[/api/message/self_questions-case8]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","699","test_active[/api/cache/jobs/active-case0]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","530","test_user[/api/user_helps-case9]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","867","test_wash_the[/api/wash_the/today_wash_the-case0]","tests","2025-12-22","passed","2025-12-22","","test_04_wash_the","",""
"","583","test_active[/api/jobs/my/all_activity-case5]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","864","test_user_security[/api/users/up_password-case0]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","631","test_user_security[/api/users/i/bind_email-case2]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","557","test_active[/api/jobs/my-case4]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","1717","test_user_security[/api/cards-case3]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","2101","test_games[/game/games/l_cl-case5]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","569","test_user[/api/users/i/user_svip-case1]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","536","test_active[/api/jobs/my/all_daily_job_activity-case1]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","540","test_share[/api/universal_agent/share_links-case1]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","552","test_wash_the[/api/wash_the/list-case1]","tests","2025-12-22","passed","2025-12-22","","test_04_wash_the","",""
"","1514","test_active[/api/jobs/my/active-case3]","tests","2025-12-22","passed","2025-12-22","","test_05_active","",""
"","621","test_share[/api/universal_agent/week_job-case2]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","1135","test_games[/game/games/transfer/out_custom-case7]","tests","2025-12-22","passed","2025-12-22","","test_08_games","",""
"","2127","test_user[/api/message/notices-case7]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","755","test_user[/api/users/i/real_name-case4]","tests","2025-12-22","passed","2025-12-22","","test_02_user","",""
"","829","test_share[/api/universal_agent/friends/data_statistics-case4]","tests","2025-12-22","passed","2025-12-22","","test_07_share","",""
"","521","test_user_security[/api/cards/card_create-case5]","tests","2025-12-22","passed","2025-12-22","","test_03_user_security","",""
"","547","test_finance_center[/api/wash_the/list-case4]","tests","2025-12-22","passed","2025-12-22","","test_06_finance_center","",""
