"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录/注册","1","0","","0"
"0","","5","活动/任务模块","1","0","","0"
"0","","6","账务中心","1","0","","0"
"0","","6","分享赚钱模块","0","0","","0"
"0","","8","用户安全模块","0","0","","0"
"0","","7","游戏模块","3","0","","0"
"0","","9","用户模块","1","0","","0"
"0","","4","充值/取款模块","0","0","","0"
"0","","3","洗码模块","0","0","","0"
