"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1184","test_games[/game/games/wallets/query_balance_all-case8]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","853","test_share[/payment/channels/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","838","test_share[/api/universal_agent/friends/data_statistics-case4]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","873","test_games[/game/games/transfer/out_custom-case7]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","849","test_games[/api/users/i/set_transfer-case6]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","810","test_user[/api/user_addresses-case3]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","879","test_active[/api/jobs/my/active-case3]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","1119","test_register","tests","2025-12-26","passed","2025-12-26","","test_01_register","",""
"","848","test_finance_center[/api/wash_the/list-case4]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","813","test_games[/api/games/bookmark_game_list-case1]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1172","test_games[/game/games/transfer/in_all-case9]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","819","test_finance_center[/bets/query/-case6]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","810","test_user[/api/users/i/gender-case5]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","825","test_user_security[/api/cards/add_ewallet-case4]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","841","test_share[/payment/withdrawals-case3]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","967","test_active[/api/cache/jobs/active-case0]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","838","test_games[/api/cache/every_time_draw-case0]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1103","test_share[/api/universal_agent/week_job-case2]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","820","test_user_security[/api/cards-case3]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
