"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3702","test_games[/game/games/l-case4]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","860","test_user_security[/api/cards/card_create-case5]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","787","test_share[/api/universal_agent/friends/data_statistics-case4]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","764","test_games[/game/games/transfer/out_custom-case7]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","719","test_games[/game/launch/lottery/luzhu_dragons-case3]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","725","test_share[/payment/withdrawals-case3]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","769","test_wash_the[/api/wash_the/statistics-case2]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
"","3494","test_user[/api/message/notices-case7]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","791","test_user_security[/api/cards/solt_wallet-case6]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","704","test_active[/api/jobs/my/all_activity-case5]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","774","test_user[/api/users/i/info-case0]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","783","test_user[/api/cards/find_card-case2]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","914","test_wash_the[/api/wash_the/list-case1]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
"","831","test_share[/api/universal_agent/week_job/log-case5]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","746","test_share[/payment/channels/get_rate-case2]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","773","test_share[/api/universal_agent/friends-case3]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","1595","test_games[/api/cache/get_game_lists-case2]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1126","test_user[/api/users/i/user_svip-case1]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","753","test_finance_center[/api/account_logs-case5]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","744","test_finance_center[/bets/query/-case6]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","767","test_active[/api/jobs/my/all_daily_job_activity-case1]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","780","test_share[/api/universal_agent/commission/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","1456","test_user_security[/api/users/up_password-case0]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","758","test_wash_the[/api/wash_the/today_wash_the-case0]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
"","926","test_share[/api/universal_agent/week_job-case2]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","777","test_active[/api/jobs/my/activity-case2]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","2921","test_games[/game/games/l_cl-case5]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","734","test_user[/api/user_addresses-case3]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","725","test_finance_center[/payment/recharges-case0]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","908","test_finance_center[/payment/withdrawals-case1]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","714","test_user_security[/api/cards-case3]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","1225","test_games[/game/games/wallets/query_balance_all-case8]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","747","test_share[/payment/channels/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","832","test_share[/api/universal_agent/share_links-case1]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
