"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","824","test_wash_the[/api/wash_the/list-case1]","tests","2025-12-25","passed","2025-12-25","","test_04_wash_the","",""
"","2625","test_games[/game/games/l-case4]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","1244","test_share[/payment/channels/get_rate-case2]","tests","2025-12-25","passed","2025-12-25","","test_09_payment","",""
"","1071","test_games[/game/games/transfer/out_custom-case7]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","854","test_user[/api/user_addresses-case3]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","832","test_user_security[/api/cards/add_ewallet-case4]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","804","test_user[/api/users/i/info-case0]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","795","test_games[/api/users/i/set_transfer-case6]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","808","test_user_security[/api/cards/card_create-case5]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","1444","test_share[/payment/channels/list-case0]","tests","2025-12-25","passed","2025-12-25","","test_09_payment","",""
"","849","test_wash_the[/api/wash_the/statistics-case2]","tests","2025-12-25","passed","2025-12-25","","test_04_wash_the","",""
"","814","test_user_security[/api/users/i/bind_email-case2]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","1092","test_wash_the[/api/wash_the/today_wash_the-case0]","tests","2025-12-25","passed","2025-12-25","","test_04_wash_the","",""
"","783","test_share[/api/universal_agent/commission/list-case0]","tests","2025-12-25","passed","2025-12-25","","test_07_share","",""
"","843","test_user[/api/users/i/user_svip-case1]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","1346","test_games[/game/games/transfer/in_all-case9]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","810","test_finance_center[/api/game_transfers-case2]","tests","2025-12-25","passed","2025-12-25","","test_06_finance_center","",""
"","876","test_finance_center[/api/jobs/my-case3]","tests","2025-12-25","passed","2025-12-25","","test_06_finance_center","",""
"","825","test_user[/api/user_helps-case9]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","923","test_active[/api/cache/jobs/active-case0]","tests","2025-12-25","passed","2025-12-25","","test_05_active","",""
"","1275","test_user[/api/message/self_questions-case8]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","864","test_games[/api/cache/every_time_draw-case0]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","813","test_user[/api/users/i/real_name-case4]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","820","test_share[/api/universal_agent/friends-case3]","tests","2025-12-25","passed","2025-12-25","","test_07_share","",""
"","927","test_share[/payment/recharges-case1]","tests","2025-12-25","passed","2025-12-25","","test_09_payment","",""
"","1163","test_user_security[/api/users/up_password-case0]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","1791","test_games[/game/games/wallets/query_balance_all-case8]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","830","test_share[/payment/withdrawals-case3]","tests","2025-12-25","passed","2025-12-25","","test_09_payment","",""
"","839","test_finance_center[/payment/recharges-case0]","tests","2025-12-25","passed","2025-12-25","","test_06_finance_center","",""
"","1488","test_games[/api/cache/get_game_lists-case2]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","879","test_games[/api/games/bookmark_game_list-case1]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","897","test_finance_center[/api/wash_the/list-case4]","tests","2025-12-25","passed","2025-12-25","","test_06_finance_center","",""
"","895","test_active[/api/jobs/my/activity-case2]","tests","2025-12-25","passed","2025-12-25","","test_05_active","",""
"","802","test_active[/api/jobs/my/all_daily_job_activity-case1]","tests","2025-12-25","passed","2025-12-25","","test_05_active","",""
"","830","test_user_security[/api/users/set_wp_pass-case7]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","793","test_games[/game/launch/lottery/luzhu_dragons-case3]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","821","test_finance_center[/payment/withdrawals-case1]","tests","2025-12-25","passed","2025-12-25","","test_06_finance_center","",""
"","828","test_user_security[/api/cards/solt_wallet-case6]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","922","test_active[/api/jobs/my/active-case3]","tests","2025-12-25","passed","2025-12-25","","test_05_active","",""
"","820","test_share[/api/universal_agent/week_job/log-case5]","tests","2025-12-25","passed","2025-12-25","","test_07_share","",""
"","918","test_user_security[/api/users/i/bind_phone-case1]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","827","test_user[/api/users/i/birthday-case6]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","910","test_user[/api/users/i/gender-case5]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","1362","test_register","tests","2025-12-25","passed","2025-12-25","","test_01_register","",""
"","2699","test_games[/game/games/l_cl-case5]","tests","2025-12-25","passed","2025-12-25","","test_08_games","",""
"","877","test_user[/api/cards/find_card-case2]","tests","2025-12-25","passed","2025-12-25","","test_02_user","",""
"","883","test_share[/api/universal_agent/week_job-case2]","tests","2025-12-25","passed","2025-12-25","","test_07_share","",""
"","824","test_share[/api/universal_agent/share_links-case1]","tests","2025-12-25","passed","2025-12-25","","test_07_share","",""
"","799","test_user_security[/api/cards-case3]","tests","2025-12-25","passed","2025-12-25","","test_03_user_security","",""
"","829","test_active[/api/jobs/my-case4]","tests","2025-12-25","passed","2025-12-25","","test_05_active","",""
