"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3036","test_wash_the[/api/wash_the/list-case1]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
"","1938","test_share[/api/universal_agent/week_job/log-case5]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","2744","test_active[/api/jobs/my/active-case3]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","1914","test_games[/game/games/transfer/out_custom-case7]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1991","test_share[/payment/recharges-case1]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","2001","test_user[/api/user_addresses-case3]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2027","test_wash_the[/api/wash_the/today_wash_the-case0]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
"","2000","test_user[/api/users/i/birthday-case6]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2003","test_finance_center[/api/jobs/my-case3]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","1991","test_share[/payment/withdrawals-case3]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","1920","test_user_security[/api/users/i/bind_email-case2]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","2143","test_user[/api/message/self_questions-case8]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","1891","test_share[/payment/channels/get_rate-case2]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","2093","test_user_security[/api/cards-case3]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","3856","test_games[/game/games/l_cl-case5]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","2082","test_games[/api/cache/every_time_draw-case0]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1513","test_finance_center[/api/wash_the/list-case4]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","1952","test_user[/api/users/i/gender-case5]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","3029","test_active[/api/jobs/my/all_daily_job_activity-case1]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","2056","test_share[/api/universal_agent/friends/data_statistics-case4]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","1918","test_user_security[/api/cards/card_create-case5]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","1943","test_finance_center[/api/game_transfers-case2]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","2024","test_share[/payment/channels/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","1920","test_games[/game/launch/lottery/luzhu_dragons-case3]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","3874","test_games[/game/games/l-case4]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1883","test_user[/api/users/i/user_svip-case1]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2004","test_user[/api/users/i/real_name-case4]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2076","test_user[/api/cards/find_card-case2]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2176","test_active[/api/jobs/my/all_activity-case5]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","1939","test_active[/api/jobs/my/activity-case2]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","2379","test_user_security[/api/users/up_password-case0]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","2015","test_user_security[/api/cards/solt_wallet-case6]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
