"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2165","test_games[/api/cache/every_time_draw-case0]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","1959","test_games[/game/launch/lottery/luzhu_dragons-case3]","tests","2025-12-26","passed","2025-12-26","","test_08_games","",""
"","2169","test_share[/api/universal_agent/commission/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","1910","test_user_security[/api/users/i/bind_email-case2]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","2231","test_user[/api/user_addresses-case3]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2330","test_share[/api/universal_agent/week_job-case2]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","2045","test_share[/api/universal_agent/friends/data_statistics-case4]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","2030","test_user_security[/api/cards/card_create-case5]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","2546","test_active[/api/jobs/my/active-case3]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","2109","test_finance_center[/api/jobs/my-case3]","tests","2025-12-26","passed","2025-12-26","","test_06_finance_center","",""
"","1933","test_user[/api/users/i/info-case0]","tests","2025-12-26","passed","2025-12-26","","test_02_user","",""
"","2412","test_user_security[/api/users/up_password-case0]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","1933","test_user_security[/api/cards-case3]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","1939","test_share[/payment/channels/list-case0]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","1923","test_user_security[/api/cards/solt_wallet-case6]","tests","2025-12-26","passed","2025-12-26","","test_03_user_security","",""
"","3005","test_share[/payment/withdrawals-case3]","tests","2025-12-26","passed","2025-12-26","","test_09_payment","",""
"","1990","test_active[/api/jobs/my-case4]","tests","2025-12-26","passed","2025-12-26","","test_05_active","",""
"","2043","test_share[/api/universal_agent/week_job/log-case5]","tests","2025-12-26","passed","2025-12-26","","test_07_share","",""
"","2020","test_wash_the[/api/wash_the/today_wash_the-case0]","tests","2025-12-26","passed","2025-12-26","","test_04_wash_the","",""
