"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","0","用户模块","0","0","","0"
"6","","0","活动/任务模块","0","0","","0"
"10","","0","游戏模块","0","0","","0"
"8","","0","用户安全模块","0","0","","0"
"7","","0","账务中心","0","0","","0"
"6","","0","分享赚钱模块","0","0","","0"
"3","","0","洗码模块","0","0","","0"
"4","","0","充值/取款模块","0","0","","0"
"1","","0","登录/注册","0","0","","0"
