"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","活动/任务模块","6","0","","0"
"0","","0","充值/取款模块","4","0","","0"
"0","","0","游戏模块","10","0","","0"
"0","","0","分享赚钱模块","6","0","","0"
"0","","0","用户安全模块","8","0","","0"
"0","","0","登录/注册","1","0","","0"
"0","","0","用户模块","10","0","","0"
"0","","1","洗码模块","2","0","","0"
"0","","1","账务中心","6","0","","0"
